sample_id,cluster_id
AN0088-C,cluster_1
AN0089-C,cluster_1
AN0090-C,cluster_1
AN0091-C,cluster_1
AN0092-C,cluster_1
AN0093-C,cluster_1
AN0094-C,cluster_1
AN0095-C,cluster_1
AN0096-C,cluster_1
AN0097-C,cluster_1
AN0098-C,cluster_1
AN0099-C,cluster_1
AN0100-C,cluster_1
AN0101-Cx,cluster_1
AN0102-C,cluster_1
AN0103-C,cluster_1
AN0104-C,cluster_1
AN0105-C,cluster_1
AN0106-C,cluster_1
AN0107-C,cluster_1
AN0108-C,cluster_1
AN0109-C,cluster_1
AN0111-C,cluster_1
AN0112-Cx,cluster_1
AN0113-C,cluster_1
AN0114-C,cluster_1
AN0115-C,cluster_1
AN0117-C,cluster_1
AN0118-Cx,cluster_1
AN0119-C,cluster_1
AN0120-C,cluster_1
AN0121-Cx,cluster_1
AN0122-C,cluster_1
AN0123-Cx,cluster_1
AN0124-C,cluster_1
AN0125-Cx,cluster_1
AN0126-C,cluster_1
AN0127-Cx,cluster_1
AN0128-C,cluster_1
AN0129-C,cluster_1
AN0130-C,cluster_1
AN0131-C,cluster_1
AN0132-Cx,cluster_1
AN0133-Cx,cluster_1
AN0134-Cx,cluster_1
AN0135-Cx,cluster_1
AN0136-Cx,cluster_1
AN0137-C,cluster_1
AN0138-C,cluster_1
AN0139-C,cluster_1
AN0140-C,cluster_1
AN0141-C,cluster_1
AN0142-C,cluster_1
AN0143-C,cluster_1
AN0144-C,cluster_1
AN0146-C,cluster_1
AN0147-C,cluster_1
AN0148-C,cluster_1
AN0149-C,cluster_1
AN0151-C,cluster_1
AN0152-C,cluster_1
AN0153-C,cluster_1
AN0154-C,cluster_1
AN0155-C,cluster_1
AN0156-C,cluster_1
AN0157-Cx,cluster_1
AN0158-C,cluster_1
AN0159-Cx,cluster_1
AN0160-Cx,cluster_1
AN0162-Cx,cluster_1
AN0163-C,cluster_1
AN0164-C,cluster_1
AN0165-C,cluster_1
AN0166-C,cluster_1
AN0167-C,cluster_1
AN0168-C,cluster_1
AN0169-C,cluster_1
AN0170-C,cluster_1
AN0171-C,cluster_1
AN0172-C,cluster_1
AN0173-C,cluster_1
AN0174-Cx,cluster_1
AN0175-C,cluster_1
AN0176-C,cluster_1
AN0177-C,cluster_1
AN0178-C,cluster_1
AN0179-C,cluster_1
AN0180-C,cluster_1
AN0181-C,cluster_1
AN0182-C,cluster_1
AN0183-C,cluster_1
AN0184-C,cluster_1
AN0185-C,cluster_1
AN0186-Cx,cluster_1
AN0187-C,cluster_1
AN0188-C,cluster_1
AN0189-C,cluster_1
AN0190-C,cluster_1
AN0191-C,cluster_1
AN0192-C,cluster_1
AN0193-Cx,cluster_1
AN0194-C,cluster_1
AN0195-Cx,cluster_1
AN0196-C,cluster_1
AN0197-Cx,cluster_1
AN0198-C,cluster_1
AN0199-C,cluster_1
AN0200-C,cluster_1
AN0201-Cx,cluster_1
AN0202-Cx,cluster_1
AN0203-Cx,cluster_1
AN0204-C,cluster_1
AN0205-C,cluster_1
AN0206-C,cluster_1
AN0207-C,cluster_1
AN0208-C,cluster_1
AN0209-C,cluster_1
AN0210-Cx,cluster_1
AN0212-C,cluster_1
AN0213-C,cluster_1
AN0214-C,cluster_1
AN0215-C,cluster_1
AN0217-C,cluster_1
AN0218-C,cluster_1
AN0219-C,cluster_1
AN0220-C,cluster_1
AN0221-C,cluster_1
AN0222-Cx,cluster_1
AN0223-C,cluster_1
AN0224-Cx,cluster_1
AN0225-Cx,cluster_1
AN0226-Cx,cluster_1
AN0227-Cx,cluster_1
AN0228-C,cluster_1
AN0229-Cx,cluster_1
AN0230-Cx,cluster_1
AN0231-Cx,cluster_1
AN0232-C,cluster_1
AN0233-C,cluster_1
AN0234-C,cluster_1
AN0235-C,cluster_1
AN0236-Cx,cluster_1
AN0237-Cx,cluster_1
AN0238-C,cluster_1
AN0239-C,cluster_1
AN0240-C,cluster_1
AN0241-C,cluster_1
AN0242-C,cluster_1
AN0243-C,cluster_1
AN0244-C,cluster_1
AN0245-C,cluster_1
AN0246-C,cluster_1
AN0247-C,cluster_1
AN0248-C,cluster_1
AN0250-C,cluster_1
AN0251-C,cluster_1
AN0252-C,cluster_1
AN0253-C,cluster_1
AN0254-C,cluster_1
AN0255-C,cluster_1
AN0256-C,cluster_1
AN0258-C,cluster_1
AN0259-Cx,cluster_1
AN0260-C,cluster_1
AN0261-Cx,cluster_1
AN0262-C,cluster_1
AN0263-Cx,cluster_1
AN0264-C,cluster_1
AN0265-C,cluster_1
AN0266-C,cluster_1
AN0267-Cx,cluster_1
AN0268-C,cluster_1
AN0269-C,cluster_1
AN0270-C,cluster_1
AN0271-C,cluster_1
AN0272-C,cluster_1
AN0275-C,cluster_1
AN0276-C,cluster_1
